"time","has.laptop","write.code","know.prog","has.data","know.r","can.import","can.clean","can.graph","can.render","can.lm","can.interp","can.pvalue","can.sevsd","can.95ci","can.forloop","self.skills","class.skills","self.excite","class.excite","self.prep","class.prep","learn.concept","learn.r","can.science","should.science","truth.people","not.psychsci","perf.pred","noperf.pred","too.complex","epistemology","consent"
"2025/01/18 10:28:15 PM PST","Yes","Yes","Yes","Yes","3","Yes","Yes","Yes","Yes","Maybe","Maybe","Yes","Yes","Maybe","No","4","4","4","3","3","4","4","3","5","","2","1","1","4","3","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/19 5:49:05 AM PST","Yes","Yes","Yes","Yes","3","Yes","Maybe","Maybe","No","Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","2","4","5","5","4","5","4","4","4","4","4","3","4","2","2","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/19 3:06:24 PM PST","Yes","No","No","No","2","Maybe","No","No","No","No","No","Yes","Yes","Yes","No","3","5","5","4","3","5","4","3","4","5","4","1","1","5","5","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/19 3:53:43 PM PST","Yes","Yes","Yes","No","3","Yes","Yes","Yes","Maybe","Yes","Yes","Yes","Yes","Yes","Maybe","3","3","5","5","4","4","5","4","5","5","5","1","5","1","3","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/20 10:06:19 AM PST","Yes","Yes","Yes","No","2","Yes","Maybe","Maybe","Maybe","Maybe","No","Maybe","No","Maybe","Maybe","3","5","4","2","2","4","4","3","4","4","3","1","3","3","4","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/20 10:33:04 AM PST","Yes","Yes","Yes","Yes","3","Yes","Yes","Yes","Yes","Maybe","Yes","Yes","Yes","Yes","Maybe","3","3","4","4","4","4","4","4","4","4","4","2","3","4","4","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/20 7:18:59 PM PST","Yes","No","No","Yes","2","Maybe","Maybe","Maybe","No","No","Yes","Yes","Maybe","Yes","No","4","4","5","5","4","4","5","5","4","4","2","1","1","5","4","Reality and “truth” are made up by people (and scientists); scientific knowledge is just a reflection of our society’s pre-existing beliefs.","yes, you can add my responses to a class dataset."
"2025/01/21 9:40:26 AM PST","No","No","No","No","2","Yes","No","Maybe","No","No","Maybe","Maybe","No","Maybe","No","3","4","4","4","3","4","4","4","5","4","4","1","4","2","4","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/21 12:17:24 PM PST","Yes","Yes","Yes","Yes","4","Yes","Yes","Maybe","Maybe","Yes","Yes","Yes","Maybe","Maybe","Maybe","5","5","5","5","4","5","4","5","5","5","5","1","5","1","1","There is a REAL TRUTH about what makes people think, feel, and act that we can someday learn.","yes, you can add my responses to a class dataset."
"2025/01/21 4:16:53 PM PST","Yes","Yes","Yes","Yes","4","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Maybe","No","3","4","5","4","4","4","4","4","4","4","2","2","2","4","5","Reality and “truth” are made up by people (and scientists); scientific knowledge is just a reflection of our society’s pre-existing beliefs.","yes, you can add my responses to a class dataset."
"2025/01/21 5:28:40 PM PST","Yes","No","No","No","1","No","No","No","No","No","No","No","No","No","No","1","3","3","3","2","3","3","3","5","4","2","1","1","5","5","Reality and “truth” are made up by people (and scientists); scientific knowledge is just a reflection of our society’s pre-existing beliefs.","yes, you can add my responses to a class dataset."
"2025/01/22 10:15:09 AM PST","Yes","No","Yes","No","1","No","No","No","No","No","No","No","No","No","No","1","5","5","5","2","5","3","2","5","5","5","3","2","3","4","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/22 11:44:15 AM PST","Yes","Yes","Yes","Yes","1","Maybe","Maybe","No","No","No","Yes","Maybe","Maybe","Yes","Maybe","5","5","5","5","5","5","5","4","5","5","5","1","2","4","1","Reality and “truth” are made up by people (and scientists); scientific knowledge is just a reflection of our society’s pre-existing beliefs.","yes, you can add my responses to a class dataset."
"2025/01/23 2:50:15 PM PST","Yes","Yes","Yes","Yes","2","Maybe","Maybe","No","No","No","Yes","Yes","Yes","Yes","Yes","2","2","5","4","4","4","4","3","4","4","3","2","3","3","4","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/23 3:11:23 PM PST","Yes","Yes","Yes","Yes","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Maybe","Yes","Maybe","4","4","5","4","4","4","5","5","5","4","4","1","1","5","2","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/23 7:50:10 PM PST","Yes","Yes","Yes","Yes","3","Yes","Maybe","Maybe","No","Maybe","Maybe","Yes","Maybe","Yes","No","3","4","4","4","4","4","4","3","5","4","3","1","3","4","4","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/23 10:20:39 PM PST","Yes","Yes","Yes","Yes","2","Yes","Yes","Yes","Yes","","Yes","Yes","Maybe","Maybe","Maybe","3","4","5","4","5","4","5","5","5","5","3","1","3","3","2","There is a REAL TRUTH about what makes people think, feel, and act that we can someday learn.","yes, you can add my responses to a class dataset."
"2025/01/24 12:31:17 AM PST","Yes","Yes","Yes","Yes","4","Yes","Yes","Yes","Maybe","Yes","Yes","Yes","Yes","Yes","Yes","5","4","5","4","5","5","4","5","5","5","5","2","5","1","1","There is a REAL TRUTH about what makes people think, feel, and act that we can someday learn.","yes, you can add my responses to a class dataset."
"2025/01/24 3:05:33 AM PST","Yes","Yes","Yes","Yes","2","Maybe","No","Maybe","No","Maybe","No","Yes","Maybe","Maybe","Maybe","3","4","5","4","4","5","5","4","4","3","4","1","3","4","2","There is a REAL TRUTH about what makes people think, feel, and act that we can someday learn.","yes, you can add my responses to a class dataset."
"2025/01/24 7:57:01 AM PST","Yes","No","No","No","1","Yes","Yes","Yes","Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","2","4","3","3","3","4","4","4","4","4","3","2","3","3","4","Reality and “truth” are made up by people (and scientists); scientific knowledge is just a reflection of our society’s pre-existing beliefs.","yes, you can add my responses to a class dataset."
"2025/01/24 8:02:47 AM PST","Yes","Yes","Yes","Yes","3","Yes","Maybe","Maybe","Yes","Maybe","Maybe","Yes","Maybe","Yes","Maybe","3","3","4","4","4","4","4","4","4","4","3","2","2","4","4","Reality exists, but we may not be able to ever understand REAL TRUTH because our ability to study reality will always be influenced by people.","yes, you can add my responses to a class dataset."
"2025/01/24 8:23:39 AM PST","Yes","Yes","Yes","Yes","3","Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","Maybe","No","No","Maybe","2","1","1","1","2","1","1","2","3","2","3","2","3","1","1","There is no reality or “truth” to what people are like, and trying to understand “truth” removes autonomy from people (it turns people into machines).","yes, you can add my responses to a class dataset."
"2025/01/28 2:53:16 PM PST","Yes","Yes","Yes","Yes","4","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","4","4","5","4","4","5","4","4","3","3","1","3","1","5","5","Reality and “truth” are made up by people (and scientists); scientific knowledge is just a reflection of our society’s pre-existing beliefs.","I am the professor and you should remove me."
